ClassNumber,Mnemonic,Number,Section,Title
10001,AAS,1010,100,Introduction to African-American and African Studies I
10004,AAS,1010,101,Introduction to African-American and African Studies I
10005,AAS,1010,102,Introduction to African-American and African Studies I
10002,AAS,1010,103,Introduction to African-American and African Studies I
10003,AAS,1010,104,Introduction to African-American and African Studies I
10006,AAS,1010,105,Introduction to African-American and African Studies I
10007,AAS,1010,106,Introduction to African-American and African Studies I
21505,AAS,1010,107,Introduction to African-American and African Studies I
21506,AAS,1010,108,Introduction to African-American and African Studies I
21507,AAS,1010,109,Introduction to African-American and African Studies I
21969,AAS,1010,110,Introduction to African-American and African Studies I
13052,AAS,2224,1,Black Femininities and Masculinities in the US Media
13908,AAS,2224,2,Black Femininities and Masculinities in the US Media
21444,AAS,2559,1,New Course in African and African American Studies
18108,AAS,2559,2,New Course in African and African American Studies
18109,AAS,2657,1,"Routes, Writing, Reggae"
18112,AAS,3300,1,Social Science Perspectives on African American and African Studies
20344,AAS,3500,1,Intermediate Seminar in African-American & African Studies
18114,AAS,3500,2,Intermediate Seminar in African-American & African Studies
18115,AAS,3500,3,Intermediate Seminar in African-American & African Studies
21875,AAS,3500,4,Intermediate Seminar in African-American & African Studies
21882,AAS,3500,5,Intermediate Seminar in African-American & African Studies
21883,AAS,3500,6,Intermediate Seminar in African-American & African Studies
18117,AAS,3645,1,Musical Fictions
18110,AAS,3749,1,Food and Meaning in Africa and the Diaspora
19531,AAS,3853,1,From Redlined to Subprime: Race and Real Estate in the U.S.
11711,AAS,4070,1,Directed Reading and Research
18119,AAS,4570,1,Advanced Research Seminar in African-American & African Studies
12670,AAS,4993,3,Independent Study
20467,AAS,5559,1,New Course in African and African American Studies
21258,ACCT,2010,701,Introductory Accounting I
21261,ACCT,2020,701,Introductory Accounting II
21259,ACCT,3110,701,Intermediate Accounting I
21262,ACCT,3120,701,Intermediate Accounting II
21263,ACCT,3140,701,Cost Accounting
21265,ACCT,4450,701,Federal Taxation I
21260,ACCT,4700,701,Federal Accounting
21267,ACCT,5210,701,Introductory Auditing
21264,ACCT,5330,701,Accounting for Non-Business Organizations
21268,ACCT,5470,701,Forensic Accounting
14544,AIRS,100,1,Leadership Laboratory
14539,AIRS,1100,1,The Foundations of the U.S. Air Force
14540,AIRS,1100,2,The Foundations of the U.S. Air Force
14541,AIRS,2100,1,The Evolution of Air and Space Power
14542,AIRS,2100,2,The Evolution of Air and Space Power
14545,AIRS,3100,1,Concepts of Air Force Leadership and Management
14546,AIRS,3100,2,Concepts of Air Force Leadership and Management
14543,AIRS,4100,1,National Security Affairs/Preparation for Active Duty
14547,AIRS,4100,2,National Security Affairs/Preparation for Active Duty
14715,ALAR,8010,1,Research Studio 2
14726,ALAR,8010,2,Research Studio 2
14727,ALAR,8010,3,Research Studio 2
14728,ALAR,8010,4,Research Studio 2
14729,ALAR,8010,5,Research Studio 2
14738,ALAR,8010,6,Research Studio 2
14777,ALAR,8010,7,Research Studio 2
14782,ALAR,8010,8,Research Studio 2
14885,ALAR,8010,9,Research Studio 2
14958,ALAR,8010,10,Research Studio 2
14859,ALAR,8030,1,Design Studio 3
14860,ALAR,8030,2,Design Studio 3
14861,ALAR,8030,3,Design Studio 3
22479,ALAR,8030,4,Design Studio 3
21730,ALAR,8100,2,Thesis I
14767,ALAR,8999,1,Non-Topical Design Research-Masters
